"","Rk","Season","Lg","Age","Ht","Wt","G","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Pace","eFG.","TOV.","ORB.","FT.FGA","ORtg","TS.","end_two","season_end"
"1",2,"2024-25","NBA",26.3,"7-Jun",215,1230,241.3,41.7,89.2,13.5,37.6,16.9,21.7,11.1,33,44.1,26.5,8.2,4.9,14.3,18.6,113.8,0.467,0.36,0.78,98.8,0.543,12.6,25.2,0.189,114.5,0.576,"25",2025
"2",3,"2023-24","NBA",26.4,"7-Jun",216,1230,241.4,42.2,88.9,12.8,35.1,17,21.7,10.6,33,43.5,26.7,7.5,5.1,13.6,18.7,114.2,0.474,0.366,0.784,98.5,0.547,12.1,24.2,0.192,115.3,0.58,"24",2024
"3",4,"2022-23","NBA",26.1,"6-Jun",216,1230,241.8,42,88.3,12.3,34.2,18.4,23.5,10.4,33,43.4,25.3,7.3,4.7,14.1,20,114.7,0.475,0.361,0.782,99.2,0.545,12.5,24,0.208,114.8,0.581,"23",2023
"4",5,"2021-22","NBA",26.1,"6-Jun",215,1230,241.4,40.6,88.1,12.4,35.2,16.9,21.9,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.6,0.461,0.354,0.775,98.2,0.532,12.3,23.2,0.192,112,0.566,"22",2022
"5",6,"2020-21","NBA",26.1,"6-Jun",217,1080,241.4,41.2,88.4,12.7,34.6,17,21.8,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,0.466,0.367,0.778,99.2,0.538,12.4,22.2,0.192,112.3,0.572,"21",2021
"6",7,"2019-20","NBA",26.1,"6-Jun",218,1059,241.8,40.9,88.8,12.2,34.1,17.9,23.1,10.1,34.8,44.8,24.4,7.6,4.9,14.5,20.8,111.8,0.46,0.358,0.773,100.3,0.529,12.8,22.5,0.201,110.6,0.565,"20",2020
"7",8,"2018-19","NBA",26.3,"6-Jun",219,1230,241.6,41.1,89.2,11.4,32,17.7,23.1,10.3,34.8,45.2,24.6,7.6,5,14.1,20.9,111.2,0.461,0.355,0.766,100,0.524,12.4,22.9,0.198,110.4,0.56,"19",2019
"8",9,"2017-18","NBA",26.4,"7-Jun",220,1230,241.4,39.6,86.1,10.5,29,16.6,21.7,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,0.46,0.362,0.767,97.3,0.521,13,22.3,0.193,108.6,0.556,"18",2018
"9",10,"2016-17","NBA",26.6,"7-Jun",221,1230,241.6,39,85.4,9.7,27,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7,14,19.9,105.6,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8,0.552,"17",2017
"10",11,"2015-16","NBA",26.7,"7-Jun",222,1230,241.8,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5,14.4,20.3,102.7,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4,0.541,"16",2016
